epochs steps out_loss offset_loss train_accuracy time
8 13 1.165 2.751 0.705 178.298
8 14 1.012 2.965 0.784 178.513
8 15 1.125 2.897 0.780 178.724
8 16 1.552 2.901 0.570 178.909
8 17 1.100 2.821 0.787 179.104
8 18 1.570 2.967 0.535 179.306
8 19 1.228 2.754 0.697 179.499
8 20 1.404 3.054 0.723 179.700
8 21 1.703 2.936 0.537 179.923
8 22 1.585 2.678 0.555 180.135
8 23 1.569 3.036 0.629 180.327
8 24 1.360 2.738 0.675 180.541
8 25 1.117 2.815 0.718 180.745
8 26 1.316 2.952 0.718 180.958
8 27 1.630 2.948 0.570 181.160
8 28 1.953 2.895 0.469 181.365
8 29 1.174 2.691 0.700 181.572
8 30 1.254 2.724 0.630 181.772
8 31 1.416 2.756 0.636 181.972
8 32 1.676 2.947 0.566 182.171
8 33 1.258 3.058 0.708 182.360
8 34 1.441 2.863 0.674 182.548
8 35 1.694 3.056 0.578 182.751
8 36 1.695 2.999 0.549 182.934
8 37 1.051 3.099 0.699 183.128
8 38 1.719 2.698 0.591 183.326
8 39 1.099 2.806 0.712 183.514
8 40 1.129 2.682 0.740 183.689
8 41 1.295 2.923 0.612 183.884
8 42 1.234 2.668 0.660 184.079
8 43 1.285 2.819 0.686 184.263
8 44 1.301 2.790 0.660 184.465
8 45 1.490 2.890 0.571 184.641
8 46 1.862 2.680 0.570 184.835
8 47 1.369 2.884 0.643 185.040
8 48 1.053 2.590 0.772 185.230
8 49 1.369 2.781 0.579 185.420
9 0 1.502 2.863 0.626 196.214
9 1 1.293 2.856 0.650 196.464
9 2 1.239 2.832 0.633 196.701
9 3 1.542 2.777 0.504 196.914
9 4 1.310 2.616 0.638 197.142
9 5 1.022 2.706 0.729 197.348
9 6 1.298 2.831 0.614 197.550
9 7 1.312 2.913 0.640 197.825
9 8 1.366 2.738 0.601 198.070
9 9 1.554 2.997 0.469 198.298
9 10 1.461 2.571 0.640 198.505
9 11 1.843 2.676 0.533 198.734
9 12 1.511 2.727 0.574 198.926
9 13 1.568 2.953 0.571 199.134
9 14 1.515 2.716 0.591 199.357
9 15 1.484 2.859 0.606 199.566
9 16 1.633 3.185 0.506 199.796
9 17 1.991 2.972 0.486 200.003
9 18 1.278 2.888 0.597 200.208
9 19 1.106 2.800 0.662 200.418
9 20 1.742 2.804 0.515 200.614
9 21 1.858 2.759 0.447 200.801
9 22 1.273 2.690 0.602 201.025
9 23 1.044 2.724 0.693 201.224
9 24 1.521 2.727 0.552 201.431
9 25 1.705 3.066 0.482 201.633
9 26 1.323 2.780 0.649 201.832
9 27 1.232 2.871 0.632 202.060
9 28 1.146 2.882 0.687 202.263
9 29 1.476 2.677 0.537 202.491
9 30 1.084 2.827 0.669 202.684
9 31 1.428 2.663 0.567 202.887
9 32 1.294 2.791 0.595 203.185
9 33 1.233 2.728 0.656 203.402
9 34 1.104 2.660 0.728 203.578
9 35 1.847 2.958 0.466 203.780
9 36 1.539 2.681 0.589 203.957
9 37 1.178 2.787 0.653 204.149
9 38 1.512 2.601 0.589 204.332
9 39 1.296 2.631 0.672 204.523
9 40 1.496 2.687 0.579 204.717
9 41 1.691 2.822 0.513 204.894
9 42 1.426 2.721 0.639 205.075
9 43 1.641 2.768 0.556 205.262
9 44 1.543 2.831 0.625 205.458
9 45 1.980 2.827 0.556 205.645
9 46 1.520 2.902 0.624 205.834
9 47 1.026 2.634 0.713 206.029
9 48 1.311 2.887 0.681 206.202
9 49 1.191 2.593 0.674 206.404
10 0 1.348 2.753 0.689 216.919
10 1 1.454 2.757 0.600 217.129
10 2 1.059 2.655 0.707 217.334
10 3 1.456 2.771 0.575 217.614
10 4 1.104 2.700 0.661 217.836
10 5 1.301 2.694 0.662 218.063
10 6 1.722 2.885 0.585 218.265
10 7 1.691 2.968 0.544 218.487
10 8 1.332 2.740 0.601 218.700
10 9 1.480 2.696 0.601 218.979
10 10 1.248 2.602 0.678 219.195
10 11 1.463 2.721 0.623 219.500
10 12 1.673 2.746 0.543 219.743
10 13 1.304 2.704 0.664 219.959
10 14 1.187 2.646 0.716 220.181
10 15 1.715 3.045 0.543 220.407
10 16 1.703 2.857 0.598 220.631
10 17 1.155 2.667 0.689 220.831
10 18 1.204 2.702 0.671 221.048
10 19 1.548 2.774 0.610 221.252
10 20 1.273 2.772 0.622 221.494
10 21 1.292 2.635 0.605 221.724
10 22 1.496 2.650 0.627 221.921
10 23 1.765 2.712 0.506 222.150
