epochs steps out_loss offset_loss train_accuracy time
12 2 1.474 2.817 0.626 278.364
12 3 1.110 2.882 0.719 278.582
12 4 1.289 2.530 0.646 278.803
12 5 1.303 2.640 0.621 279.064
12 6 1.477 2.511 0.558 279.322
12 7 1.146 2.787 0.710 279.609
12 8 1.436 2.703 0.637 279.863
12 9 1.412 2.538 0.610 280.090
12 10 1.174 2.719 0.646 280.333
12 11 1.011 2.600 0.713 280.559
12 12 1.015 2.595 0.780 280.765
12 13 1.353 2.797 0.689 280.982
12 14 1.131 2.459 0.727 281.217
12 15 1.073 2.837 0.721 281.435
12 16 1.686 2.946 0.533 281.666
12 17 1.844 2.736 0.478 281.879
12 18 1.577 2.753 0.548 282.113
12 19 1.483 2.763 0.642 282.332
12 20 1.456 2.614 0.700 282.569
12 21 1.746 2.777 0.592 282.785
12 22 1.037 2.546 0.752 283.020
12 23 1.094 2.661 0.721 283.206
12 24 1.013 2.710 0.759 283.446
12 25 1.507 2.680 0.566 283.668
12 26 1.474 2.845 0.626 283.903
12 27 1.207 2.622 0.690 284.123
12 28 1.209 2.651 0.697 284.348
12 29 1.373 2.703 0.651 284.588
12 30 1.020 2.506 0.749 284.825
12 31 1.724 2.653 0.519 285.043
12 32 1.148 2.694 0.703 285.251
12 33 1.154 2.615 0.742 285.463
12 34 1.502 2.775 0.532 285.663
12 35 1.139 2.706 0.705 285.856
12 36 1.240 2.660 0.645 286.075
12 37 1.259 2.703 0.683 286.285
12 38 1.463 2.501 0.578 286.495
12 39 1.511 2.669 0.543 286.706
12 40 1.120 2.598 0.650 286.910
12 41 1.552 2.711 0.540 287.113
12 42 1.381 2.550 0.647 287.331
12 43 1.124 2.523 0.624 287.545
12 44 1.407 2.719 0.554 287.749
12 45 1.510 2.620 0.613 287.962
12 46 0.886 2.592 0.735 288.172
12 47 1.028 2.581 0.693 288.368
12 48 1.403 2.728 0.614 288.572
12 49 1.094 2.650 0.694 288.769
13 0 1.269 2.676 0.638 299.726
13 1 1.069 2.684 0.760 299.969
13 2 1.208 2.659 0.687 300.260
13 3 1.245 2.609 0.677 300.501
13 4 1.711 2.528 0.639 300.789
13 5 1.318 2.681 0.676 301.035
13 6 0.872 2.506 0.821 301.248
13 7 1.471 2.766 0.624 301.587
13 8 1.023 2.580 0.743 301.834
13 9 1.453 2.794 0.567 302.053
13 10 1.244 2.702 0.689 302.278
13 11 1.400 2.830 0.576 302.496
13 12 0.850 2.620 0.800 302.732
13 13 1.404 2.607 0.623 302.961
13 14 1.531 2.785 0.573 303.197
13 15 1.106 2.517 0.767 303.407
13 16 1.165 2.620 0.632 303.616
13 17 1.132 2.728 0.660 303.843
13 18 0.918 2.613 0.745 304.066
13 19 1.445 2.740 0.656 304.297
13 20 1.306 2.801 0.634 304.520
13 21 1.407 2.638 0.624 304.812
13 22 1.550 2.781 0.654 305.013
13 23 1.578 2.772 0.581 305.265
13 24 1.429 2.661 0.680 305.487
13 25 1.699 2.857 0.545 305.707
13 26 1.192 2.688 0.676 305.938
13 27 1.482 2.716 0.583 306.174
13 28 1.306 2.934 0.665 306.395
13 29 1.726 2.845 0.505 306.628
13 30 1.120 2.707 0.752 306.850
13 31 1.286 2.448 0.707 307.071
13 32 1.174 2.526 0.684 307.294
13 33 1.046 2.403 0.691 307.484
13 34 0.995 2.569 0.778 307.678
13 35 1.560 2.640 0.642 307.880
13 36 1.416 2.621 0.641 308.094
13 37 2.001 2.694 0.614 308.325
13 38 1.025 2.671 0.746 308.536
13 39 1.337 2.600 0.685 308.767
13 40 1.549 2.578 0.480 308.983
13 41 1.599 2.522 0.559 309.197
13 42 1.069 2.465 0.676 309.401
13 43 1.107 2.622 0.723 309.641
