epochs steps out_loss offset_loss train_accuracy time
10 40 1.176 2.783 0.602 222.641
10 41 1.219 2.816 0.640 222.844
10 42 0.745 2.645 0.767 223.049
10 43 0.835 2.690 0.713 223.264
10 44 1.323 2.944 0.599 223.474
10 45 1.060 2.685 0.648 223.665
10 46 0.841 2.699 0.717 223.870
10 47 0.653 2.772 0.844 224.069
10 48 1.136 2.755 0.632 224.264
10 49 1.007 2.572 0.683 224.465
11 0 1.085 2.748 0.603 235.037
11 1 0.827 2.714 0.756 235.299
11 2 1.146 2.657 0.628 235.521
11 3 1.020 2.691 0.699 235.746
11 4 0.944 2.631 0.706 235.967
11 5 1.020 2.879 0.696 236.166
11 6 1.271 3.117 0.532 236.393
11 7 1.488 3.187 0.509 236.713
11 8 0.885 2.654 0.703 236.913
11 9 1.132 2.647 0.658 237.143
11 10 0.943 2.690 0.663 237.357
11 11 0.871 2.680 0.708 237.571
11 12 0.839 2.817 0.745 237.793
11 13 1.027 2.457 0.666 237.998
11 14 1.166 2.832 0.639 238.214
11 15 0.912 2.711 0.699 238.460
11 16 1.059 2.898 0.649 238.679
11 17 1.331 2.531 0.552 238.896
11 18 1.073 2.894 0.673 239.106
11 19 1.058 2.696 0.668 239.330
11 20 1.352 2.922 0.488 239.546
11 21 0.973 2.818 0.729 239.765
11 22 1.003 2.728 0.682 239.969
11 23 0.825 2.714 0.735 240.203
11 24 1.248 2.727 0.601 240.442
11 25 1.003 2.798 0.655 240.648
11 26 1.118 2.698 0.622 240.898
11 27 0.769 2.632 0.754 241.127
11 28 1.023 2.716 0.679 241.375
11 29 1.182 2.747 0.600 241.662
11 30 0.990 2.480 0.678 241.904
11 31 1.455 2.509 0.554 242.149
11 32 1.139 2.561 0.637 242.355
11 33 0.813 2.608 0.749 242.561
11 34 0.906 2.812 0.729 242.760
11 35 0.927 2.790 0.694 242.983
11 36 1.042 2.678 0.674 243.186
11 37 0.829 2.532 0.738 243.390
11 38 0.957 2.919 0.727 243.603
11 39 0.999 2.822 0.711 243.815
11 40 0.904 2.489 0.737 244.035
11 41 0.975 2.923 0.678 244.240
11 42 0.724 2.555 0.805 244.462
11 43 1.093 2.769 0.624 244.671
11 44 0.734 2.728 0.776 244.873
11 45 1.070 2.830 0.643 245.157
11 46 0.744 2.674 0.763 245.353
11 47 1.023 2.662 0.668 245.583
11 48 0.912 2.654 0.714 245.788
11 49 1.172 2.678 0.632 245.982
12 0 1.184 2.717 0.648 257.099
12 1 1.024 2.928 0.661 257.306
12 2 1.022 2.689 0.640 257.530
12 3 1.001 2.764 0.725 257.754
12 4 1.041 2.588 0.681 258.017
12 5 1.132 2.742 0.654 258.283
12 6 0.621 2.326 0.826 258.587
